0.000000 10000.000000 -0.000000
6.245208 9804.347826 0.019759
12.367012 9608.695652 0.039917
18.365411 9413.043478 0.060489
24.240406 9217.391304 0.081493
29.991997 9021.739130 0.102948
35.620183 8826.086957 0.124873
41.124963 8630.434783 0.147290
46.506338 8434.782609 0.170221
51.764308 8239.130435 0.193690
56.898872 8043.478261 0.217723
61.910030 7847.826087 0.242349
66.797782 7652.173913 0.267595
71.562126 7456.521739 0.293496
76.203064 7260.869565 0.320085
80.720594 7065.217391 0.347401
85.114717 6869.565217 0.375484
89.385431 6673.913043 0.404379
93.532736 6478.260870 0.434133
97.556631 6282.608696 0.464800
101.457117 6086.956522 0.496437
105.234192 5891.304348 0.529108
108.887856 5695.652174 0.562882
112.418108 5500.000000 0.597837
115.824947 5304.347826 0.634058
119.108371 5108.695652 0.671641
122.268381 4913.043478 0.710691
125.304974 4717.391304 0.751329
128.218149 4521.739130 0.793688
131.007906 4326.086957 0.837922
133.674241 4130.434783 0.884202
136.217153 3934.782609 0.932729
138.636640 3739.130435 0.983732
140.932698 3543.478261 1.037476
143.105325 3347.826087 1.094274
145.154517 3152.173913 1.154493
147.080269 2956.521739 1.218572
148.882576 2760.869565 1.287039
150.561432 2565.217391 1.360542
152.116827 2369.565217 1.439879
153.548752 2173.913043 1.526056
154.857194 1978.260870 1.620367
156.042134 1782.608696 1.724507
157.103550 1586.956522 1.840767
158.041408 1391.304348 1.972343
158.855662 1195.652174 2.123893
