0,1,0.6,0.803
10,1,1.2,0.806
20,1,1.8,0.809
30,1,2.4,0.812
40,1,3,0.815
50,1,3.6,0.818
60,1,4,0.82
70,1,4.6,0.823
80,1,5.2,0.826
90,1,5.8,0.829
100,1,6.4,0.832
110,1,7,0.835
120,1,7.6,0.838
