0.001000	0.000000
0.021045	0.000000
0.041091	0.000004
0.061136	0.000018
0.081182	0.000045
0.101227	0.000090
0.121273	0.000152
0.141318	0.000233
0.161364	0.000333
0.181409	0.000451
0.201455	0.000587
0.221500	0.000739
0.241546	0.000908
0.261591	0.001091
0.281637	0.001287
0.301682	0.001497
0.321728	0.001718
0.341773	0.001950
0.361819	0.002191
0.381864	0.002442
0.401910	0.002701
0.421955	0.002967
0.442001	0.003240
0.462046	0.003518
0.482092	0.003803
0.502137	0.004091
0.522183	0.004384
0.542228	0.004681
0.562274	0.004981
0.582319	0.005283
0.602365	0.005588
0.622410	0.005895
0.642456	0.006203
0.662501	0.006512
0.682547	0.006823
0.702592	0.007133
0.722638	0.007444
0.742683	0.007756
0.762729	0.008067
0.782774	0.008377
0.802820	0.008687
0.822865	0.008997
0.842911	0.009305
0.862956	0.009612
0.883002	0.009918
0.903047	0.010223
0.923093	0.010526
0.943138	0.010827
0.963184	0.011127
0.983229	0.011424
1.003275	0.011720
1.023320	0.012014
1.043366	0.012306
1.063411	0.012596
1.083457	0.012883
1.103502	0.013169
1.123548	0.013452
1.143593	0.013732
1.163639	0.014010
1.183684	0.014286
1.203730	0.014559
1.223775	0.014830
1.243821	0.015098
1.263866	0.015364
1.283912	0.015627
1.303957	0.015888
1.324003	0.016146
1.344048	0.016401
1.364094	0.016654
1.384139	0.016904
1.404185	0.017152
1.424230	0.017397
1.444276	0.017639
1.464321	0.017879
1.484367	0.018116
1.504412	0.018351
1.524458	0.018582
1.544503	0.018812
1.564549	0.019039
1.584594	0.019263
1.604640	0.019484
1.624685	0.019703
1.644731	0.019920
1.664776	0.020134
1.684822	0.020345
1.704867	0.020554
1.724913	0.020761
1.744958	0.020965
1.765004	0.021166
1.785049	0.021365
1.805095	0.021562
1.825140	0.021756
1.845186	0.021948
1.865231	0.022138
1.885277	0.022325
1.905322	0.022509
1.925368	0.022692
1.945413	0.022872
1.965459	0.023050
1.985504	0.023226
2.005550	0.023399
2.025595	0.023571
2.045641	0.023740
2.065686	0.023906
2.085732	0.024071
2.105777	0.024234
2.125823	0.024394
2.145868	0.024552
2.165914	0.024709
2.185959	0.024863
2.206004	0.025015
2.226050	0.025165
2.246095	0.025313
2.266141	0.025460
2.286186	0.025604
2.306232	0.025746
2.326277	0.025886
2.346323	0.026025
2.366368	0.026162
2.386414	0.026296
2.406459	0.026429
2.426505	0.026560
2.446550	0.026689
2.466596	0.026817
2.486641	0.026943
2.506687	0.027066
2.526732	0.027189
2.546778	0.027309
2.566823	0.027428
2.586869	0.027545
2.606914	0.027661
2.626960	0.027774
2.647005	0.027887
2.667051	0.027997
2.687096	0.028106
2.707142	0.028214
2.727187	0.028320
2.747233	0.028424
2.767278	0.028527
2.787324	0.028628
2.807369	0.028728
2.827415	0.028826
2.847460	0.028923
2.867506	0.029019
2.887551	0.029113
2.907597	0.029205
2.927642	0.029297
2.947688	0.029387
2.967733	0.029475
2.987779	0.029562
3.007824	0.029648
3.027870	0.029733
3.047915	0.029816
3.067961	0.029898
3.088006	0.029978
3.108052	0.030058
3.128097	0.030136
3.148143	0.030213
3.168188	0.030289
3.188234	0.030363
3.208279	0.030436
3.228325	0.030509
3.248370	0.030580
3.268416	0.030649
3.288461	0.030718
3.308507	0.030786
3.328552	0.030852
3.348598	0.030917
3.368643	0.030982
3.388689	0.031045
3.408734	0.031107
3.428780	0.031168
3.448825	0.031228
3.468871	0.031287
3.488916	0.031345
3.508962	0.031402
3.529007	0.031458
3.549053	0.031513
3.569098	0.031567
3.589144	0.031620
3.609189	0.031672
3.629235	0.031723
3.649280	0.031774
3.669326	0.031823
3.689371	0.031871
3.709417	0.031919
3.729462	0.031966
3.749508	0.032011
3.769553	0.032056
3.789599	0.032100
3.809644	0.032143
3.829690	0.032186
3.849735	0.032227
3.869781	0.032268
3.889826	0.032308
3.909872	0.032347
3.929917	0.032385
3.949963	0.032423
3.970008	0.032459
3.990054	0.032495
4.010099	0.032531
4.030145	0.032565
4.050190	0.032599
4.070236	0.032632
4.090281	0.032664
4.110327	0.032695
4.130372	0.032726
4.150418	0.032756
4.170463	0.032786
4.190509	0.032815
4.210554	0.032843
4.230600	0.032870
4.250645	0.032897
4.270691	0.032923
4.290736	0.032948
4.310782	0.032973
4.330827	0.032997
4.350873	0.033021
4.370918	0.033044
4.390964	0.033066
4.411009	0.033088
4.431054	0.033109
4.451100	0.033129
4.471145	0.033149
4.491191	0.033168
4.511236	0.033187
4.531282	0.033205
4.551327	0.033223
4.571373	0.033240
4.591418	0.033257
4.611464	0.033273
4.631509	0.033288
4.651555	0.033303
4.671600	0.033317
4.691646	0.033331
4.711691	0.033345
4.731737	0.033357
4.751782	0.033370
4.771828	0.033382
4.791873	0.033393
4.811919	0.033404
4.831964	0.033414
4.852010	0.033424
4.872055	0.033434
4.892101	0.033443
4.912146	0.033451
4.932192	0.033460
4.952237	0.033467
4.972283	0.033474
4.992328	0.033481
5.012374	0.033488
5.032419	0.033493
5.052465	0.033499
5.072510	0.033504
5.092556	0.033509
5.112601	0.033513
5.132647	0.033517
5.152692	0.033520
5.172738	0.033523
5.192783	0.033526
5.212829	0.033528
5.232874	0.033530
5.252920	0.033532
5.272965	0.033533
5.293011	0.033534
5.313056	0.033534
5.333102	0.033534
5.353147	0.033534
5.373193	0.033533
5.393238	0.033532
5.413284	0.033531
5.433329	0.033529
5.453375	0.033527
5.473420	0.033525
5.493466	0.033522
5.513511	0.033519
5.533557	0.033516
5.553602	0.033512
5.573648	0.033508
5.593693	0.033504
