Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.13736260,1.16910900
0.00499950,0.13797310,1.18315000
0.00999900,0.13919410,1.19658100
0.01499850,0.13858360,1.20634900
0.01999800,0.13980460,1.21367500
0.02499750,0.13980460,1.21062300
0.02999700,0.13919410,1.20451800
0.03499650,0.13980460,1.18681300
0.03999600,0.14041510,1.15323600
0.04499550,0.14041510,1.11538500
0.04999500,0.14102560,1.07997600
0.05499450,0.14102560,1.04273500
0.05999400,0.14102560,0.99633710
0.06499350,0.14102560,0.94810750
0.06999300,0.14163610,0.90170940
0.07499250,0.14163610,0.85042740
0.07999200,0.14224660,0.82051280
0.08499150,0.14285710,0.78571430
0.08999100,0.14285710,0.73565330
0.09499050,0.14285710,0.67643470
0.09999000,0.14224660,0.59096460
0.10498950,0.14224660,0.54334560
0.10998901,0.14285710,0.48779000
0.11498851,0.14285710,0.44017090
0.11998801,0.14407820,0.35775340
0.12498751,0.14346760,0.30219780
0.12998701,0.14407820,0.26862030
0.13498651,0.14468870,0.22771670
0.13998601,0.14407820,0.18498170
0.14498551,0.14590970,0.14652020
0.14998501,0.14590970,0.12148960
0.15498451,0.14590970,0.10561660
0.15998401,0.14652020,0.08791209
0.16498351,0.14652020,0.08180708
0.16998301,0.14713070,0.07997558
0.17498251,0.14713070,0.07631258
0.17998201,0.14713070,0.08363859
0.18498151,0.14774120,0.10744810
0.18998101,0.14774120,0.12210010
0.19498051,0.14835170,0.12759460
0.19998001,0.14835170,0.13247860
0.20497951,0.14835170,0.17948720
0.20997901,0.14896220,0.24908430
0.21497851,0.14896220,0.29120880
0.21997801,0.14957270,0.33150180
0.22497751,0.14957270,0.39194140
0.22997701,0.14957270,0.48534800
0.23497651,0.15018320,0.56532360
0.23997601,0.15079370,0.61599510
0.24497551,0.15140420,0.67643470
0.24997501,0.15140420,0.74420030
0.25497451,0.15140420,0.79426130
0.25997401,0.15079370,0.83089140
0.26497351,0.15140420,0.85409040
0.26997301,0.15201470,0.89987790
0.27497251,0.15262520,0.93467650
0.27997201,0.15262520,0.95299150
0.28497151,0.15323570,0.99145310
0.28997101,0.15384620,1.05006100
0.29497051,0.15384620,1.10195400
0.29997001,0.15323570,1.14041500
0.30496951,0.15506720,1.16361400
0.30996901,0.15506720,1.18681300
0.31496851,0.15506720,1.20268600
0.31996801,0.15567770,1.20940200
0.32496752,0.15567770,1.21306500
0.32996702,0.15567770,1.20757000
0.33496652,0.15628820,1.18864500
0.33996602,0.15567770,1.16666700
0.34496552,0.15689870,1.15323600
0.34996502,0.15689870,1.13431000
0.35496452,0.15750920,1.11050100
0.35996402,0.15689870,1.07631300
0.36496352,0.15750920,1.04395600
0.36996302,0.15750920,1.00488400
0.37496252,0.15750920,0.95054950
0.37996202,0.15873020,0.89255190
0.38496152,0.15811970,0.85164840
0.38996102,0.15873020,0.79181930
0.39496052,0.15934070,0.71245430
0.39996002,0.15811970,0.64224670
0.40495952,0.15934070,0.57081810
0.40995902,0.15995120,0.50976800
0.41495852,0.15934070,0.44139190
0.41995802,0.15995120,0.37545790
0.42495752,0.15934070,0.33394380
