Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.09645910,1.13858400
0.00500000,0.09706960,1.13980500
0.01000000,0.09706960,1.13980500
0.01500000,0.09829060,1.13980500
0.02000000,0.09829060,1.13980500
0.02500000,0.09768010,1.13980500
0.03000000,0.09890110,1.13980500
0.03500000,0.09890110,1.13980500
0.04000000,0.09951160,1.14041500
0.04500000,0.09890110,1.14041500
0.05000000,0.10012210,1.14041500
0.05500000,0.10012210,1.13980500
0.06000000,0.10073260,1.14041500
0.06500000,0.10073260,1.13980500
0.07000000,0.10073260,1.13980500
0.07500000,0.10012210,1.14041500
0.08000000,0.10134310,1.14163600
0.08500000,0.10134310,1.14102600
0.09000000,0.10195360,1.14102600
0.09500000,0.10256410,1.14163600
0.10000000,0.10256410,1.14224700
0.10500000,0.10256410,1.14163600
0.11000000,0.10317460,1.14163600
0.11500000,0.10317460,1.14224700
0.12000000,0.10378510,1.14163600
0.12500000,0.10378510,1.14224700
0.13000000,0.10439560,1.14224700
0.13500000,0.10500610,1.14224700
0.14000000,0.10500610,1.14102600
0.14500000,0.10500610,1.14346800
0.15000000,0.10500610,1.14285700
0.15500000,0.10500610,1.14285700
0.16000000,0.10561660,1.14468900
0.16500000,0.10561660,1.14346800
0.17000000,0.10622710,1.14346800
0.17500000,0.10622710,1.14346800
0.18000000,0.10683760,1.14346800
0.18500000,0.10683760,1.14285700
0.19000000,0.10744810,1.14224700
0.19500000,0.10744810,1.14224700
0.20000000,0.10744810,1.14224700
0.20500000,0.10744810,1.14285700
0.21000000,0.10805860,1.14224700
0.21500000,0.10866910,1.14285700
0.22000000,0.10866910,1.14346800
0.22499999,0.10866910,1.14407800
0.22999999,0.10927960,1.14468900
0.23499999,0.10927960,1.14591000
0.23999999,0.10927960,1.14529900
0.24499999,0.10927960,1.14591000
0.24999999,0.10989010,1.14591000
0.25499999,0.11050060,1.14591000
0.25999999,0.11050060,1.14591000
0.26499999,0.11111110,1.14346800
0.26999999,0.11111110,1.14224700
0.27499999,0.11111110,1.14102600
0.27999999,0.11172160,1.14041500
0.28499999,0.11233210,1.14102600
0.28999999,0.11172160,1.14041500
0.29499999,0.11233210,1.14041500
0.29999999,0.11294260,1.14163600
0.30499999,0.11294260,1.14163600
0.30999999,0.11294260,1.14102600
0.31499999,0.11294260,1.14041500
0.31999999,0.11355310,1.14163600
0.32499999,0.11355310,1.14041500
0.32999999,0.11416360,1.14041500
0.33499999,0.11416360,1.13980500
0.33999999,0.11477410,1.13980500
0.34499999,0.11477410,1.14041500
0.34999999,0.11538460,1.14041500
0.35499999,0.11538460,1.14102600
0.35999999,0.11538460,1.14041500
0.36499999,0.11599510,1.14102600
0.36999999,0.11599510,1.14041500
0.37499999,0.11660560,1.13980500
0.37999999,0.11660560,1.14041500
0.38499999,0.11721610,1.13980500
0.38999999,0.11721610,1.13980500
0.39499999,0.11782660,1.14041500
0.39999999,0.11782660,1.14102600
0.40499999,0.11782660,1.13980500
0.40999999,0.11782660,1.13980500
0.41499999,0.11843710,1.13980500
0.41999999,0.11904760,1.13980500
0.42499999,0.11843710,1.13980500
