Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.06288157,0.94261300
0.00500000,0.06227107,0.94139200
0.01000000,0.06349207,0.94261300
0.01500000,0.06471307,0.94200250
0.02000000,0.06471307,0.94139200
0.02500000,0.06532357,0.94139200
0.03000000,0.06410257,0.94017100
0.03500000,0.06593407,0.94078150
0.04000000,0.06593407,0.94261300
0.04500000,0.06593407,0.94139200
0.05000000,0.06654457,0.94261300
0.05500000,0.06654457,0.94261300
0.06000000,0.06715507,0.94322350
0.06500000,0.06776557,0.94383400
0.07000000,0.06776557,0.94200250
0.07500000,0.06776557,0.94261300
0.08000000,0.06776557,0.94078150
0.08500000,0.06837607,0.94078150
0.09000000,0.06837607,0.94078150
0.09500000,0.06898657,0.94078150
0.10000000,0.06898657,0.94078150
0.10500000,0.06837607,0.93956050
0.11000000,0.06898657,0.94017100
0.11500000,0.06959707,0.94200250
0.12000000,0.07081807,0.94322350
0.12500000,0.07081807,0.94261300
0.13000000,0.07020757,0.94322350
0.13500000,0.07142857,0.94322350
0.14000000,0.07142857,0.94261300
0.14500000,0.07203908,0.94078150
0.15000000,0.07264958,0.94017100
0.15500000,0.07264958,0.94017100
0.16000000,0.07264958,0.94017100
0.16500000,0.07326008,0.94078150
0.17000000,0.07326008,0.94139200
0.17500000,0.07387058,0.94139200
0.18000000,0.07326008,0.94322350
0.18500000,0.07448108,0.94383400
0.19000000,0.07448108,0.94383400
0.19500000,0.07509158,0.94322350
0.20000000,0.07509158,0.94383400
0.20500000,0.07509158,0.94261300
0.21000000,0.07570208,0.94017100
0.21500000,0.07509158,0.93956050
0.22000000,0.07631258,0.93895000
0.22499999,0.07570208,0.93895000
0.22999999,0.07509158,0.94017100
0.23499999,0.07753358,0.94139200
0.23999999,0.07692308,0.94261300
0.24499999,0.07753358,0.94139200
0.24999999,0.07753358,0.94261300
0.25499999,0.07692308,0.94261300
0.25999999,0.07875458,0.94383400
0.26499999,0.07814408,0.94322350
0.26999999,0.07936508,0.94200250
0.27499999,0.07936508,0.94200250
0.27999999,0.07997558,0.94078150
0.28499999,0.07936508,0.94017100
0.28999999,0.08058608,0.93956050
0.29499999,0.08058608,0.93956050
0.29999999,0.08058608,0.94078150
0.30499999,0.08119658,0.94200250
0.30999999,0.08180708,0.94261300
0.31499999,0.08180708,0.94261300
0.31999999,0.08180708,0.94322350
0.32499999,0.08119658,0.94200250
0.32999999,0.08119658,0.94139200
0.33499999,0.08180708,0.94200250
0.33999999,0.08302809,0.94139200
0.34499999,0.08302809,0.93711850
0.34999999,0.08363859,0.94017100
0.35499999,0.08363859,0.94017100
0.35999999,0.08424909,0.94017100
0.36499999,0.08424909,0.94078150
0.36999999,0.08485959,0.94139200
0.37499999,0.08485959,0.94322350
0.37999999,0.08485959,0.94322350
0.38499999,0.08547009,0.94383400
0.38999999,0.08608059,0.94383400
0.39499999,0.08547009,0.94261300
0.39999999,0.08669109,0.94322350
0.40499999,0.08669109,0.94139200
0.40999999,0.08730159,0.94078150
0.41499999,0.08730159,0.94017100
0.41999999,0.08791209,0.94017100
0.42499999,0.08791209,0.93956050
