Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.13797310,1.18315000
0.00499950,0.13797310,1.17948700
0.00999900,0.13919410,1.17704500
0.01499850,0.13919410,1.16422500
0.01999800,0.13858360,1.14774100
0.02499750,0.13980460,1.13003700
0.02999700,0.14041510,1.10866900
0.03499650,0.14041510,1.09768000
0.03999600,0.14041510,1.07387100
0.04499550,0.14041510,1.03846200
0.04999500,0.14102560,1.01404200
0.05499450,0.14163610,0.99267410
0.05999400,0.14163610,0.97191700
0.06499350,0.14102560,0.93162390
0.06999300,0.14163610,0.87667890
0.07499250,0.14224660,0.84554340
0.07999200,0.14224660,0.82600740
0.08499150,0.14224660,0.78083030
0.08999100,0.14285710,0.71794870
0.09499050,0.14346760,0.66910870
0.09999000,0.14285710,0.64652020
0.10498950,0.14285710,0.61233210
0.10998901,0.14346760,0.55189260
0.11498851,0.14407820,0.50305250
0.11998801,0.14346760,0.47496950
0.12498751,0.14407820,0.44871800
0.12998701,0.14468870,0.40781440
0.13498651,0.14468870,0.37179490
0.13998601,0.14468870,0.35347990
0.14498551,0.14590970,0.34065940
0.14998501,0.14590970,0.32112330
0.15498451,0.14652020,0.29731380
0.15998401,0.14713070,0.28388280
0.16498351,0.14652020,0.27960930
0.16998301,0.14713070,0.27289380
0.17498251,0.14774120,0.27106230
0.17998201,0.14774120,0.26923080
0.18498151,0.14774120,0.27289380
0.18998101,0.14835170,0.27289380
0.19498051,0.14896220,0.29059830
0.19998001,0.14896220,0.31318680
0.20497951,0.14896220,0.33394380
0.20997901,0.14957270,0.36202690
0.21497851,0.14957270,0.39621490
0.21997801,0.14957270,0.42124540
0.22497751,0.15018320,0.44017090
0.22997701,0.15018320,0.46275950
0.23497651,0.15079370,0.50610500
0.23997601,0.15079370,0.53907200
0.24497551,0.15140420,0.55616610
0.24997501,0.15201470,0.58302810
0.25497451,0.15140420,0.62210010
0.25997401,0.15201470,0.65811970
0.26497351,0.15201470,0.69719170
0.26997301,0.15201470,0.74236880
0.27497251,0.15323570,0.81074480
0.27997201,0.15262520,0.86691090
0.28497151,0.15323570,0.90476190
0.28997101,0.15323570,0.92857150
0.29497051,0.15384620,0.96703300
0.29997001,0.15445670,1.00854700
0.30496951,0.15445670,1.03724100
0.30996901,0.15506720,1.05677700
0.31496851,0.15506720,1.08547000
0.31996801,0.15506720,1.11355300
0.32496752,0.15506720,1.13308900
0.32996702,0.15567770,1.14224700
0.33496652,0.15628820,1.15384600
0.33996602,0.15567770,1.16788800
0.34496552,0.15628820,1.17582400
0.34996502,0.15628820,1.18254000
0.35496452,0.15689870,1.18559200
0.35996402,0.15689870,1.18498200
0.36496352,0.15750920,1.17460300
0.36996302,0.15811970,1.16849800
0.37496252,0.15811970,1.16117200
0.37996202,0.15873020,1.14835200
0.38496152,0.15873020,1.11965800
0.38996102,0.15934070,1.09401700
0.39496052,0.15934070,1.06532400
0.39996002,0.15934070,1.03418800
0.40495952,0.15995120,1.00000000
0.40995902,0.15995120,0.96398050
0.41495852,0.16056170,0.93589750
0.41995802,0.15995120,0.89010990
0.42495752,0.15995120,0.85286940
