Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.26678880,0.34920640
0.00499950,0.26678880,0.33028080
0.00999900,0.26862030,0.31379730
0.01499850,0.26862030,0.29731380
0.01999800,0.26923080,0.28632480
0.02499750,0.26923080,0.28327230
0.02999700,0.26862030,0.29120880
0.03499650,0.26984130,0.30891330
0.03999600,0.26984130,0.34004880
0.04499550,0.27045180,0.36019540
0.04999500,0.27106230,0.40537240
0.05499450,0.27045180,0.43894990
0.05999400,0.27106230,0.46947500
0.06499350,0.27167280,0.49816850
0.06999300,0.27167280,0.54395600
0.07499250,0.27228330,0.59645910
0.07999200,0.27228330,0.64652020
0.08499150,0.27289380,0.67826620
0.08999100,0.27228330,0.72405370
0.09499050,0.27289380,0.79059830
0.09999000,0.27350430,0.85347990
0.10498950,0.27350430,0.90537240
0.10998901,0.27350430,0.96703300
0.11498851,0.27411480,1.03418800
0.11998801,0.27472530,1.10256400
0.12498751,0.27411480,1.14041500
0.12998701,0.27533580,1.18315000
0.13498651,0.27533580,1.23260100
0.13998601,0.27411480,1.27777800
0.14498551,0.27594630,1.30952400
0.14998501,0.27533580,1.34981700
0.15498451,0.27655680,1.40170900
0.15998401,0.27655680,1.44749700
0.16498351,0.27716730,1.48595900
0.16998301,0.27716730,1.50244200
0.17498251,0.27716730,1.53052500
0.17998201,0.27777780,1.55128200
0.18498151,0.27838830,1.56654500
0.18998101,0.27838830,1.57692300
0.19498051,0.27777780,1.57936500
0.19998001,0.27899880,1.57203900
0.20497951,0.27899880,1.55921900
0.20997901,0.27899880,1.55311400
0.21497851,0.27899880,1.53357800
0.21997801,0.27899880,1.48901100
0.22497751,0.27960930,1.42979300
0.22997701,0.28021980,1.41575100
0.23497651,0.28021980,1.39560400
0.23997601,0.28021980,1.36569000
0.24497551,0.28144080,1.29548200
0.24997501,0.28144080,1.26678900
0.25497451,0.28144080,1.25030500
0.25997401,0.28205130,1.22222200
0.26497351,0.28205130,1.16300400
0.26997301,0.28205130,1.09829100
0.27497251,0.28266180,1.05189300
0.27997201,0.28266180,0.99084250
0.28497151,0.28327230,0.91636150
0.28997101,0.28327230,0.83333340
0.29497051,0.28327230,0.77228330
0.29997001,0.28388280,0.71062270
0.30496951,0.28449330,0.63492070
0.30996901,0.28449330,0.57081810
0.31496851,0.28449330,0.52686200
0.31996801,0.28449330,0.48901100
0.32496752,0.28510380,0.47069600
0.32996702,0.28510380,0.43650790
0.33496652,0.28510380,0.39438340
0.33996602,0.28449330,0.35775340
0.34496552,0.28632480,0.34004880
0.34996502,0.28632480,0.32112330
0.35496452,0.28632480,0.30219780
0.35996402,0.28693530,0.29365080
0.36496352,0.28693530,0.29304030
0.36996302,0.28693530,0.28876680
0.37496252,0.28693530,0.29365080
0.37996202,0.28754580,0.31379730
0.38496152,0.28815630,0.35592190
0.38996102,0.28754580,0.36080590
0.39496052,0.28815630,0.36630040
0.39996002,0.28876680,0.37973140
0.40495952,0.28876680,0.44261290
0.40995902,0.28937730,0.51098900
0.41495852,0.28937730,0.54822960
0.41995802,0.28876680,0.57814410
0.42495752,0.28937730,0.64285720
