Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.04639805,0.04700855
0.00499950,0.04700855,0.04639805
0.00999900,0.04822955,0.04945055
0.01499850,0.04884005,0.04884005
0.01999800,0.04884005,0.04639805
0.02499750,0.04884005,0.04761905
0.02999700,0.04945055,0.04822955
0.03499650,0.04945055,0.04761905
0.03999600,0.04945055,0.04884005
0.04499550,0.04945055,0.05006105
0.04999500,0.05067155,0.05250305
0.05499450,0.05067155,0.05250305
0.05999400,0.05067155,0.04945055
0.06499350,0.05128205,0.04945055
0.06999300,0.05128205,0.05433455
0.07499250,0.05189255,0.05616606
0.07999200,0.05189255,0.05372405
0.08499150,0.05189255,0.05128205
0.08999100,0.05250305,0.05189255
0.09499050,0.05250305,0.05250305
0.09999000,0.05189255,0.05189255
0.10498950,0.05189255,0.04884005
0.10998901,0.05311355,0.05128205
0.11498851,0.05372405,0.05189255
0.11998801,0.05372405,0.05311355
0.12498751,0.05372405,0.05128205
0.12998701,0.05433455,0.05250305
0.13498651,0.05494506,0.05677656
0.13998601,0.05433455,0.05555556
0.14498551,0.05494506,0.05372405
0.14998501,0.05555556,0.05189255
0.15498451,0.05555556,0.05311355
0.15998401,0.05555556,0.05616606
0.16498351,0.05616606,0.05433455
0.16998301,0.05677656,0.05250305
0.17498251,0.05677656,0.05433455
0.17998201,0.05677656,0.05433455
0.18498151,0.05738706,0.05311355
0.18998101,0.05677656,0.05433455
0.19498051,0.05799756,0.05738706
0.19998001,0.05799756,0.05921856
0.20497951,0.05799756,0.05616606
0.20997901,0.05799756,0.05494506
0.21497851,0.05860806,0.05738706
0.21997801,0.05921856,0.05860806
0.22497751,0.05982906,0.05677656
0.22997701,0.05982906,0.05372405
0.23497651,0.06043956,0.05494506
0.23997601,0.05921856,0.05921856
0.24497551,0.06043956,0.05677656
0.24997501,0.06105006,0.05677656
0.25497451,0.06105006,0.05738706
0.25997401,0.06166057,0.06105006
0.26497351,0.06105006,0.05982906
0.26997301,0.06166057,0.05982906
0.27497251,0.06166057,0.06043956
0.27997201,0.06227107,0.06593407
0.28497151,0.06227107,0.06288157
0.28997101,0.06227107,0.05860806
0.29497051,0.06288157,0.05677656
0.29997001,0.06227107,0.05860806
0.30496951,0.06349207,0.05860806
0.30996901,0.06410257,0.05921856
0.31496851,0.06410257,0.05921856
0.31996801,0.06410257,0.06349207
0.32496752,0.06349207,0.06227107
0.32996702,0.06410257,0.05982906
0.33496652,0.06532357,0.06043956
0.33996602,0.06471307,0.06471307
0.34496552,0.06532357,0.06593407
0.34996502,0.06593407,0.06105006
0.35496452,0.06593407,0.05738706
0.35996402,0.06593407,0.06349207
0.36496352,0.06654457,0.06410257
0.36996302,0.06654457,0.06105006
0.37496252,0.06654457,0.05860806
0.37996202,0.06715507,0.06043956
0.38496152,0.06715507,0.06959707
0.38996102,0.06776557,0.06776557
0.39496052,0.06776557,0.06715507
0.39996002,0.06837607,0.07020757
0.40495952,0.06898657,0.07509158
0.40995902,0.06898657,0.07264958
0.41495852,0.06898657,0.07020757
0.41995802,0.06898657,0.06959707
0.42495752,0.06959707,0.07997558
