Orario,Canale Ch 1,Canale Ch 11
(s),(V),(V)

0.00000000,0.07142857,1.23565300
0.00500000,0.07264958,1.31746000
0.01000000,0.07326008,1.34310100
0.01500000,0.07326008,1.26984100
0.02000000,0.07387058,1.31990200
0.02500000,0.07448108,1.32844900
0.03000000,0.07387058,1.35409000
0.03500000,0.07387058,1.35592200
0.04000000,0.07448108,1.33028100
0.04500000,0.07509158,1.33272300
0.05000000,0.07570208,1.35836400
0.05500000,0.07570208,1.34493300
0.06000000,0.07570208,1.33272300
0.06500000,0.07631258,1.30891300
0.07000000,0.07692308,1.34615400
0.07500000,0.07631258,1.35409000
0.08000000,0.07692308,1.32783900
0.08500000,0.07753358,1.32234400
0.09000000,0.07753358,1.35470100
0.09500000,0.07814408,1.34798500
0.10000000,0.07814408,1.31746000
0.10500000,0.07814408,1.30464000
0.11000000,0.07875458,1.32783900
0.11500000,0.07875458,1.30464000
0.12000000,0.07875458,1.29059800
0.12500000,0.07936508,1.28876700
0.13000000,0.07997558,1.30464000
0.13500000,0.07936508,1.32844900
0.14000000,0.07997558,1.30464000
0.14500000,0.08119658,1.31013400
0.15000000,0.08058608,1.31623900
0.15500000,0.08119658,1.33394400
0.16000000,0.08119658,1.31074500
0.16500000,0.08180708,1.30341900
0.17000000,0.08180708,1.34188000
0.17500000,0.08241758,1.34004900
0.18000000,0.08241758,1.31990200
0.18500000,0.08302809,1.32844900
0.19000000,0.08302809,1.35775300
0.19500000,0.08363859,1.34859600
0.20000000,0.08302809,1.32906000
0.20500000,0.08424909,1.33638600
0.21000000,0.08424909,1.34920600
0.21500000,0.08424909,1.34798500
0.22000000,0.08363859,1.28022000
0.22499999,0.08363859,1.27289400
0.22999999,0.08485959,1.31440800
0.23499999,0.08669109,1.36141600
0.23999999,0.08485959,1.34554300
0.24499999,0.08669109,1.34310100
0.24999999,0.08669109,1.34065900
0.25499999,0.08730159,1.36080600
0.25999999,0.08730159,1.33394400
0.26499999,0.08730159,1.32600700
0.26999999,0.08791209,1.34065900
0.27499999,0.08730159,1.34310100
0.27999999,0.08791209,1.31562900
0.28499999,0.08852259,1.31257600
0.28999999,0.08913309,1.34065900
0.29499999,0.08913309,1.33577500
0.29999999,0.08913309,1.30891300
0.30499999,0.08974359,1.32539700
0.30999999,0.08974359,1.34615400
0.31499999,0.08974359,1.34554300
0.31999999,0.09035409,1.31135500
0.32499999,0.09035409,1.27777800
0.32999999,0.09035409,1.29792400
0.33499999,0.09035409,1.27899900
0.33999999,0.09035409,1.31013400
0.34499999,0.09157509,1.31990200
0.34999999,0.09218559,1.26495700
0.35499999,0.09218559,1.34920600
0.35999999,0.09157509,1.32783900
0.36499999,0.09279609,1.32539700
0.36999999,0.09218559,1.36446900
0.37499999,0.09401710,1.36019500
0.37999999,0.09340660,1.33760700
0.38499999,0.09340660,1.33699600
0.38999999,0.09462760,1.35164800
0.39499999,0.09462760,1.35531100
0.39999999,0.09401710,1.31685000
0.40499999,0.09523810,1.33455400
0.40999999,0.09523810,1.36019500
0.41499999,0.09584860,1.34004900
0.41999999,0.09584860,1.32661800
0.42499999,0.09584860,1.33089100
