#Center fk sigmafk
0.077935 107.273117 61.934163
0.078112 500.607881 133.793084
0.078288 1036.973468 192.561139
0.078465 1323.035114 217.505633
0.078642 1394.550526 223.306801
0.078819 715.154116 159.913322
0.078996 321.819352 107.273117
0.079173 214.546235 87.588134
0.079350 0.000000 0.000000
